"subject_ID" "activity_ID" "activitydesc" "variable" "average"
"1" 1 1 "WALKING" "angle(tBodyAccJerkMean),gravityMean)" -0.00793037848421052
"2" 1 1 "WALKING" "angle(tBodyAccMean,gravity)" 0.0604537474147368
"3" 1 1 "WALKING" "angle(tBodyGyroJerkMean,gravityMean)" -0.0187431910452632
"4" 1 1 "WALKING" "angle(tBodyGyroMean,gravityMean)" 0.0130594907157895
"5" 1 1 "WALKING" "angle(X,gravityMean)" -0.729247201052632
"6" 1 1 "WALKING" "angle(Y,gravityMean)" 0.276953023473684
"7" 1 1 "WALKING" "angle(Z,gravityMean)" 0.0688589119894737
"8" 1 1 "WALKING" "fBodyAcc-mean()-X" -0.202794306326316
"9" 1 1 "WALKING" "fBodyAcc-mean()-Y" 0.0897127264021053
"10" 1 1 "WALKING" "fBodyAcc-mean()-Z" -0.331560117789474
"11" 1 1 "WALKING" "fBodyAcc-std()-X" -0.319134719578947
"12" 1 1 "WALKING" "fBodyAcc-std()-Y" 0.056040006846
"13" 1 1 "WALKING" "fBodyAcc-std()-Z" -0.279686751494737
"14" 1 1 "WALKING" "fBodyAccJerk-mean()-X" -0.170546964549579
"15" 1 1 "WALKING" "fBodyAccJerk-mean()-Y" -0.0352255241130632
"16" 1 1 "WALKING" "fBodyAccJerk-mean()-Z" -0.468999224631579
"17" 1 1 "WALKING" "fBodyAccJerk-std()-X" -0.133586606326316
"18" 1 1 "WALKING" "fBodyAccJerk-std()-Y" 0.106739857136
"19" 1 1 "WALKING" "fBodyAccJerk-std()-Z" -0.534713440421053
"20" 1 1 "WALKING" "fBodyAccMag-mean()" -0.128623450629474
"21" 1 1 "WALKING" "fBodyAccMag-std()" -0.398032586842105
"22" 1 1 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.0571194000343158
"23" 1 1 "WALKING" "fBodyBodyAccJerkMag-std()" -0.103492403002105
"24" 1 1 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.319308593778947
"25" 1 1 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.381601911789474
"26" 1 1 "WALKING" "fBodyBodyGyroMag-mean()" -0.199252568986316
"27" 1 1 "WALKING" "fBodyBodyGyroMag-std()" -0.321017953894737
"28" 1 1 "WALKING" "fBodyGyro-mean()-X" -0.339032197115789
"29" 1 1 "WALKING" "fBodyGyro-mean()-Y" -0.103059416434737
"30" 1 1 "WALKING" "fBodyGyro-mean()-Z" -0.255940940315789
"31" 1 1 "WALKING" "fBodyGyro-std()-X" -0.516691938736842
"32" 1 1 "WALKING" "fBodyGyro-std()-Y" -0.0335081597884211
"33" 1 1 "WALKING" "fBodyGyro-std()-Z" -0.436562227473684
"34" 1 1 "WALKING" "tBodyAcc-mean()-X" 0.277330758736842
"35" 1 1 "WALKING" "tBodyAcc-mean()-Y" -0.0173838185273684
"36" 1 1 "WALKING" "tBodyAcc-mean()-Z" -0.111148103547368
"37" 1 1 "WALKING" "tBodyAcc-std()-X" -0.283740258842105
"38" 1 1 "WALKING" "tBodyAcc-std()-Y" 0.114461336747368
"39" 1 1 "WALKING" "tBodyAcc-std()-Z" -0.260027902210526
"40" 1 1 "WALKING" "tBodyAccJerk-mean()-X" 0.0740416333157895
"41" 1 1 "WALKING" "tBodyAccJerk-mean()-Y" 0.0282721095884211
"42" 1 1 "WALKING" "tBodyAccJerk-mean()-Z" -0.00416840617789474
"43" 1 1 "WALKING" "tBodyAccJerk-std()-X" -0.113615602435789
"44" 1 1 "WALKING" "tBodyAccJerk-std()-Y" 0.0670025007684211
"45" 1 1 "WALKING" "tBodyAccJerk-std()-Z" -0.502699788526316
"46" 1 1 "WALKING" "tBodyAccJerkMag-mean()" -0.141428809031579
"47" 1 1 "WALKING" "tBodyAccJerkMag-std()" -0.0744717500625263
"48" 1 1 "WALKING" "tBodyAccMag-mean()" -0.136971176556842
"49" 1 1 "WALKING" "tBodyAccMag-std()" -0.219688645631579
"50" 1 1 "WALKING" "tBodyGyro-mean()-X" -0.041830963526
"51" 1 1 "WALKING" "tBodyGyro-mean()-Y" -0.0695300462115789
"52" 1 1 "WALKING" "tBodyGyro-mean()-Z" 0.0849448173042105
"53" 1 1 "WALKING" "tBodyGyro-std()-X" -0.473535485894737
"54" 1 1 "WALKING" "tBodyGyro-std()-Y" -0.0546077686594737
"55" 1 1 "WALKING" "tBodyGyro-std()-Z" -0.344266629473684
"56" 1 1 "WALKING" "tBodyGyroJerk-mean()-X" -0.0899975423705263
"57" 1 1 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0398428709463158
"58" 1 1 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0461309295021053
"59" 1 1 "WALKING" "tBodyGyroJerk-std()-X" -0.207421854757895
"60" 1 1 "WALKING" "tBodyGyroJerk-std()-Y" -0.304468510631579
"61" 1 1 "WALKING" "tBodyGyroJerk-std()-Z" -0.404255452631579
"62" 1 1 "WALKING" "tBodyGyroJerkMag-mean()" -0.298703679084211
"63" 1 1 "WALKING" "tBodyGyroJerkMag-std()" -0.325324878894737
"64" 1 1 "WALKING" "tBodyGyroMag-mean()" -0.160979552536842
"65" 1 1 "WALKING" "tBodyGyroMag-std()" -0.186978364526316
"66" 1 1 "WALKING" "tGravityAcc-mean()-X" 0.935223201473684
"67" 1 1 "WALKING" "tGravityAcc-mean()-Y" -0.282165021263158
"68" 1 1 "WALKING" "tGravityAcc-mean()-Z" -0.068102864
"69" 1 1 "WALKING" "tGravityAcc-std()-X" -0.976609642526316
"70" 1 1 "WALKING" "tGravityAcc-std()-Y" -0.971305961473684
"71" 1 1 "WALKING" "tGravityAcc-std()-Z" -0.947717226105263
"72" 1 1 "WALKING" "tGravityAccMag-mean()" -0.136971176556842
"73" 1 1 "WALKING" "tGravityAccMag-std()" -0.219688645631579
"74" 1 2 "WALKING_UPSTAIRS" "angle(tBodyAccJerkMean),gravityMean)" -0.0610838413018868
"75" 1 2 "WALKING_UPSTAIRS" "angle(tBodyAccMean,gravity)" 0.0960860761792453
"76" 1 2 "WALKING_UPSTAIRS" "angle(tBodyGyroJerkMean,gravityMean)" 0.0656835692641509
"77" 1 2 "WALKING_UPSTAIRS" "angle(tBodyGyroMean,gravityMean)" -0.194699963113208
"78" 1 2 "WALKING_UPSTAIRS" "angle(X,gravityMean)" -0.647195664339623
"79" 1 2 "WALKING_UPSTAIRS" "angle(Y,gravityMean)" 0.334763277358491
"80" 1 2 "WALKING_UPSTAIRS" "angle(Z,gravityMean)" 0.0741663682075472
"81" 1 2 "WALKING_UPSTAIRS" "fBodyAcc-mean()-X" -0.404321784150943
"82" 1 2 "WALKING_UPSTAIRS" "fBodyAcc-mean()-Y" -0.190976720811321
"83" 1 2 "WALKING_UPSTAIRS" "fBodyAcc-mean()-Z" -0.433349702075472
"84" 1 2 "WALKING_UPSTAIRS" "fBodyAcc-std()-X" -0.337428188679245
"85" 1 2 "WALKING_UPSTAIRS" "fBodyAcc-std()-Y" 0.0217695106566038
"86" 1 2 "WALKING_UPSTAIRS" "fBodyAcc-std()-Z" 0.0859565543849057
"87" 1 2 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-X" -0.479875245660377
"88" 1 2 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-Y" -0.41344458754717
"89" 1 2 "WALKING_UPSTAIRS" "fBodyAccJerk-mean()-Z" -0.685474353962264
"90" 1 2 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-X" -0.461907025849057
"91" 1 2 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-Y" -0.381777065283019
"92" 1 2 "WALKING_UPSTAIRS" "fBodyAccJerk-std()-Z" -0.726040200754717
"93" 1 2 "WALKING_UPSTAIRS" "fBodyAccMag-mean()" -0.352395944716981
"94" 1 2 "WALKING_UPSTAIRS" "fBodyAccMag-std()" -0.416260101509434
"95" 1 2 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag-mean()" -0.44265216245283
